ID,Title,Section,Type,Priority,Preconditions,Steps,Expected Result,EMVCo Reference,Business Rule,API Endpoint,Expected HTTP,pm.test Count
TC-05-05,TC-05-05 Edge - Invalid realTimePanEnrollment,TC-05 Issuer Creation,Boundary,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/issuer
2. Verify HTTP 400
3. Run 1 pm.test() assertions","HTTP 400, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/issuer,400,1
TC-06-01,TC-06-01 Happy Path - Valid BIN,TC-06 BIN Creation,Functional,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/bin/single
2. Verify HTTP 200,201
3. Run 2 pm.test() assertions","HTTP 200,201, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/bin/single,"200,201",2
TC-06-02,TC-06-02 Negative - Invalid issuerId,TC-06 BIN Creation,Negative,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/bin/single
2. Verify HTTP 400-499
3. Run 1 pm.test() assertions","HTTP 400-499, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/bin/single,400-499,1
TC-06-03,TC-06-03 Negative - Duplicate BIN,TC-06 BIN Creation,Negative,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/bin/single
2. Verify HTTP 400-499
3. Run 1 pm.test() assertions","HTTP 400-499, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/bin/single,400-499,1
TC-06-04,TC-06-04 Edge - ianLen zero,TC-06 BIN Creation,Boundary,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/bin/single
2. Verify HTTP 400
3. Run 1 pm.test() assertions","HTTP 400, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/bin/single,400,1
TC-07-01,TC-07-01 Happy Path - Valid account range,TC-07 Account Range Creation,Functional,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/account-range
2. Verify HTTP 200,201
3. Run 2 pm.test() assertions","HTTP 200,201, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/account-range,"200,201",2
TC-07-02,TC-07-02 Negative - Lower > upper,TC-07 Account Range Creation,Negative,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/account-range
2. Verify HTTP 400
3. Run 1 pm.test() assertions","HTTP 400, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/account-range,400,1
TC-07-03,TC-07-03 Negative - Empty listOfExpiry,TC-07 Account Range Creation,Negative,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/account-range
2. Verify HTTP 400
3. Run 1 pm.test() assertions","HTTP 400, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/account-range,400,1
TC-07-04,TC-07-04 Edge - Invalid quarter Q5,TC-07 Account Range Creation,Boundary,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/account-range
2. Verify HTTP 400
3. Run 1 pm.test() assertions","HTTP 400, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/account-range,400,1
TC-07-05,TC-07-05 Edge - Past expiry year,TC-07 Account Range Creation,Boundary,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/account-range
2. Verify HTTP 400
3. Run 1 pm.test() assertions","HTTP 400, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/account-range,400,1
TC-08-01,TC-08-01 Happy Path - Google Pay,TC-08 Token Requester Creation,Functional,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/token-requestor
2. Verify HTTP 200,201
3. Run 2 pm.test() assertions","HTTP 200,201, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/token-requestor,"200,201",2
TC-08-02,TC-08-02 Negative - Invalid tokenFormFactor,TC-08 Token Requester Creation,Negative,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/token-requestor
2. Verify HTTP 400
3. Run 1 pm.test() assertions","HTTP 400, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/token-requestor,400,1
TC-08-03,TC-08-03 Negative - KCV mismatch,TC-08 Token Requester Creation,Negative,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/token-requestor
2. Verify HTTP 400,422
3. Run 1 pm.test() assertions","HTTP 400,422, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/token-requestor,"400,422",1
TC-08-04,TC-08-04 Edge - Missing serviceName,TC-08 Token Requester Creation,Boundary,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/token-requestor
2. Verify HTTP 400
3. Run 1 pm.test() assertions","HTTP 400, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/token-requestor,400,1
TC-09-01,TC-09-01 Happy Path - Valid setup,TC-09 Token Use Setup,Functional,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/token-requestor/token-use/setup
2. Verify HTTP 200,201
3. Run 1 pm.test() assertions","HTTP 200,201, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/token-requestor/token-use/setup,"200,201",1
TC-09-02,TC-09-02 Negative - Non-existent trId,TC-09 Token Use Setup,Negative,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/token-requestor/token-use/setup
2. Verify HTTP 400-499
3. Run 1 pm.test() assertions","HTTP 400-499, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/token-requestor/token-use/setup,400-499,1
TC-09-03,TC-09-03 Negative - merchantId wrong length,TC-09 Token Use Setup,Negative,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/token-requestor/token-use/setup
2. Verify HTTP 400
3. Run 1 pm.test() assertions","HTTP 400, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/token-requestor/token-use/setup,400,1
TC-09-04,TC-09-04 Edge - Multiple merchants,TC-09 Token Use Setup,Boundary,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/token-requestor/token-use/setup
2. Verify HTTP 200
3. Run 1 pm.test() assertions","HTTP 200, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/token-requestor/token-use/setup,200,1
TC-10-01,TC-10-01 Happy Path - Valid life range,TC-10 Token Life Setup,Functional,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/token-life/authorization
2. Verify HTTP 200,201
3. Run 1 pm.test() assertions","HTTP 200,201, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/token-life/authorization,"200,201",1
TC-10-02,TC-10-02 Negative - Min > max,TC-10 Token Life Setup,Negative,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/token-life/authorization
2. Verify HTTP 400
3. Run 1 pm.test() assertions","HTTP 400, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/token-life/authorization,400,1
TC-10-03,TC-10-03 Negative - Non-existent issuerId,TC-10 Token Life Setup,Negative,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/token-life/authorization
2. Verify HTTP 400-499
3. Run 1 pm.test() assertions","HTTP 400-499, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/token-life/authorization,400-499,1
TC-10-04,TC-10-04 Edge - maxPeriod=0,TC-10 Token Life Setup,Boundary,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/token-life/authorization
2. Verify HTTP 200,400
3. Run 1 pm.test() assertions","HTTP 200,400, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/token-life/authorization,"200,400",1
TC-11-01,TC-11-01 Happy Path - Valid token range,TC-11 Token Range Setup,Functional,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/token-range
2. Verify HTTP 200,201
3. Run 1 pm.test() assertions","HTTP 200,201, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/token-range,"200,201",1
TC-11-02,TC-11-02 Negative - Overlaps account range,TC-11 Token Range Setup,Negative,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/token-range
2. Verify HTTP 400,409
3. Run 1 pm.test() assertions","HTTP 400,409, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/token-range,"400,409",1
TC-11-03,TC-11-03 Negative - Lower > upper,TC-11 Token Range Setup,Negative,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/token-range
2. Verify HTTP 400
3. Run 1 pm.test() assertions","HTTP 400, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/token-range,400,1
TC-11-04,TC-11-04 Negative - Non-existent requestorId,TC-11 Token Range Setup,Negative,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/token-range
2. Verify HTTP 400-499
3. Run 1 pm.test() assertions","HTTP 400-499, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/token-range,400-499,1
TC-11-05,TC-11-05 Edge - Expiry in the past,TC-11 Token Range Setup,Boundary,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/token-range
2. Verify HTTP 400
3. Run 1 pm.test() assertions","HTTP 400, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/token-range,400,1
TC-TVT-001,TC-TVT-001 Provision - Valid PAN Q1,TC-A Token Provisioning (EMVCo),Functional,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/tokens/provision
2. Verify HTTP 200,201
3. Run 3 pm.test() assertions","HTTP 200,201, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/tokens/provision,"200,201",3
TC-TVT-002,TC-TVT-002 Provision - Valid PAN Q2,TC-A Token Provisioning (EMVCo),Functional,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/tokens/provision
2. Verify HTTP 200,201
3. Run 3 pm.test() assertions","HTTP 200,201, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/tokens/provision,"200,201",3
TC-TVT-003,TC-TVT-003 Provision - Valid PAN Q3,TC-A Token Provisioning (EMVCo),Functional,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/tokens/provision
2. Verify HTTP 200,201
3. Run 3 pm.test() assertions","HTTP 200,201, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/tokens/provision,"200,201",3
TC-TVT-004,TC-TVT-004 Provision - Valid PAN Q4,TC-A Token Provisioning (EMVCo),Functional,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/tokens/provision
2. Verify HTTP 200,201
3. Run 3 pm.test() assertions","HTTP 200,201, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/tokens/provision,"200,201",3
TC-TVT-005,TC-TVT-005 Provision - BIN range first token,TC-A Token Provisioning (EMVCo),Functional,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/tokens/provision
2. Verify HTTP 200,201
3. Run 3 pm.test() assertions","HTTP 200,201, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/tokens/provision,"200,201",3
TC-TVT-006,TC-TVT-006 Provision - BIN range last token,TC-A Token Provisioning (EMVCo),Functional,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/tokens/provision
2. Verify HTTP 200,201
3. Run 3 pm.test() assertions","HTTP 200,201, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/tokens/provision,"200,201",3
TC-TVT-007,TC-TVT-007 Provision - One away from exhaustion,TC-A Token Provisioning (EMVCo),Functional,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/tokens/provision
2. Verify HTTP 200,201
3. Run 3 pm.test() assertions","HTTP 200,201, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/tokens/provision,"200,201",3
TC-TVT-008,TC-TVT-008 Provision - Range exhausted,TC-A Token Provisioning (EMVCo),Negative,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/tokens/provision
2. Verify HTTP 422
3. Run 2 pm.test() assertions","HTTP 422, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/tokens/provision,422,2
TC-TVT-009,TC-TVT-009 Provision - PAN outside account range,TC-A Token Provisioning (EMVCo),Negative,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/tokens/provision
2. Verify HTTP 422
3. Run 2 pm.test() assertions","HTTP 422, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/tokens/provision,422,2
TC-TVT-010,TC-TVT-010 Provision - Expired PAN,TC-A Token Provisioning (EMVCo),Negative,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/tokens/provision
2. Verify HTTP 400
3. Run 2 pm.test() assertions","HTTP 400, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/tokens/provision,400,2
TC-TVT-011,TC-TVT-011 Provision - Quarter not configured,TC-A Token Provisioning (EMVCo),Negative,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/tokens/provision
2. Verify HTTP 422
3. Run 2 pm.test() assertions","HTTP 422, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/tokens/provision,422,2
TC-TVT-012,TC-TVT-012 Provision - Idempotent re-tokenize,TC-A Token Provisioning (EMVCo),Functional,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/tokens/provision
2. Verify HTTP 200
3. Run 3 pm.test() assertions","HTTP 200, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/tokens/provision,200,3
TC-TVT-013,TC-TVT-013 Provision - Non-numeric PAN,TC-A Token Provisioning (EMVCo),Negative,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/tokens/provision
2. Verify HTTP 400
3. Run 2 pm.test() assertions","HTTP 400, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/tokens/provision,400,2
TC-TVT-014,TC-TVT-014 Provision - PAN too short,TC-A Token Provisioning (EMVCo),Negative,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/tokens/provision
2. Verify HTTP 400
3. Run 2 pm.test() assertions","HTTP 400, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/tokens/provision,400,2
TC-TVT-015,TC-TVT-015 Provision - PAN too long,TC-A Token Provisioning (EMVCo),Negative,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/tokens/provision
2. Verify HTTP 400
3. Run 2 pm.test() assertions","HTTP 400, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/tokens/provision,400,2
TC-TVT-016,TC-TVT-016 AcctRange - PAN within range,TC-B Account Range Validation (EMVCo),Functional,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/tokens/provision
2. Verify HTTP 200,201
3. Run 1 pm.test() assertions","HTTP 200,201, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/tokens/provision,"200,201",1
TC-TVT-017,TC-TVT-017 AcctRange - PAN at lower boundary,TC-B Account Range Validation (EMVCo),Functional,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/tokens/provision
2. Verify HTTP 200,201
3. Run 1 pm.test() assertions","HTTP 200,201, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/tokens/provision,"200,201",1
TC-TVT-018,TC-TVT-018 AcctRange - PAN at upper boundary,TC-B Account Range Validation (EMVCo),Functional,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/tokens/provision
2. Verify HTTP 200,201
3. Run 1 pm.test() assertions","HTTP 200,201, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/tokens/provision,"200,201",1
TC-TVT-019,TC-TVT-019 AcctRange - PAN below lower,TC-B Account Range Validation (EMVCo),Negative,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/tokens/provision
2. Verify HTTP 422
3. Run 2 pm.test() assertions","HTTP 422, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/tokens/provision,422,2
TC-TVT-020,TC-TVT-020 AcctRange - PAN above upper,TC-B Account Range Validation (EMVCo),Negative,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/tokens/provision
2. Verify HTTP 422
3. Run 2 pm.test() assertions","HTTP 422, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/tokens/provision,422,2
TC-TVT-021,TC-TVT-021 AcctRange - Deactivated range,TC-B Account Range Validation (EMVCo),Negative,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/tokens/provision
2. Verify HTTP 422
3. Run 2 pm.test() assertions","HTTP 422, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/tokens/provision,422,2
TC-TVT-022,TC-TVT-022 BINRange - Non-overlapping Q4,TC-C Quarter BIN Range Setup (EMVCo),Functional,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/token-range
2. Verify HTTP 200,201
3. Run 2 pm.test() assertions","HTTP 200,201, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/token-range,"200,201",2
TC-TVT-023,TC-TVT-023 BINRange - Overlapping rejected,TC-C Quarter BIN Range Setup (EMVCo),Negative,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/token-range
2. Verify HTTP 400,409
3. Run 2 pm.test() assertions","HTTP 400,409, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/token-range,"400,409",2
TC-TVT-024,TC-TVT-024 BINRange - Already-configured quarter,TC-C Quarter BIN Range Setup (EMVCo),Negative,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/token-range
2. Verify HTTP 400-499
3. Run 1 pm.test() assertions","HTTP 400-499, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/token-range,400-499,1
TC-TVT-025,TC-TVT-025 BINRange - Start > End,TC-C Quarter BIN Range Setup (EMVCo),Negative,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/token-range
2. Verify HTTP 400
3. Run 1 pm.test() assertions","HTTP 400, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/token-range,400,1
TC-TVT-026,TC-TVT-026 BINRange - Zero capacity,TC-C Quarter BIN Range Setup (EMVCo),Negative,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/token-range
2. Verify HTTP 400
3. Run 1 pm.test() assertions","HTTP 400, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/token-range,400,1
TC-TVT-027,TC-TVT-027 BINRange - Retrieve config,TC-C Quarter BIN Range Setup (EMVCo),Functional,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send GET {{baseUrl_tvm}}/tvm/api/token-range?requestorId={{trId}}&issuerId={{issuerId}}&binId={{binId}}
2. Verify HTTP 200
3. Run 2 pm.test() assertions","HTTP 200, assertions pass",,,GET {{baseUrl_tvm}}/tvm/api/token-range?requestorId={{trId}}&issuerId={{issuerId}}&binId={{binId}},200,2
TC-TVT-028,TC-TVT-028 Lifecycle - Activate (INACTIVE→ACTIVE),TC-D Token Lifecycle (EMVCo),Functional,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send PUT {{baseUrl_tvm}}/tvm/api/tokens/{{provisionedToken}}/activate
2. Verify HTTP 200
3. Run 2 pm.test() assertions","HTTP 200, assertions pass",,,PUT {{baseUrl_tvm}}/tvm/api/tokens/{{provisionedToken}}/activate,200,2
