Suite,Section,Title,Type,Priority,Business Rule,API Endpoint,Preconditions,Steps,Expected Result,Custom Fields Error Code
TSP Token Vault,12 Prepare Tokenization,Prepare Tokenization  Expired PAN (Negative/EMVCo Rule),Negative,High,Token Expiry Rule,POST /api/mocker/encrypt/card-holder-data,Mocker running. requestorTransportKey available.,"1. Send POST /api/mocker/encrypt/card-holder-data with PAN expiry: 01/20 (past date)
2. Verify HTTP response code",HTTP 400 or 422. Expired PAN expiry date rejected at preparation stage.,EXPIRED_PAN
TSP Token Vault,12 Prepare Tokenization,Prepare Tokenization  PAN Outside Account Range (Negative/Rule 1),Negative,Critical,Rule 1,POST /api/mocker/encrypt/card-holder-data,TC-ACR-001 completed. Account range is 1100000–9000000 (7-digit IAN). pan=9999999999999999 is outside configured account range.,"1. Send POST /api/mocker/encrypt/card-holder-data with pan: 9999999999999999 (outside configured range)
2. Verify HTTP response code
3. Verify ACCOUNT_NOT_ELIGIBLE in error body","HTTP 400, 404, or 422. Error body contains ACCOUNT_NOT_ELIGIBLE or NOT_ELIGIBLE or OUT_OF_RANGE.",ACCOUNT_NOT_ELIGIBLE
TSP Token Vault,13 Tokenize,Tokenize  Happy Path (Successful Token Issuance),Functional,Critical,Rules 1+2+4,POST /api/tokens/tokenize,"TC-PTR-001 completed (toTokenizeCipherText, toTokenizeMac, deviceInfo fields available). tokenRequestorId available. TSP running on port 41001.","1. Send POST /api/tokens/tokenize with header X-TSP-TR-ID: {{tokenRequestorId}} and body: {cipherText:{{toTokenizeCipherText}}, deviceInfo:{deviceId,walletId,seId,fingerPrint}, mac:{{toTokenizeMac}}}
2. Verify HTTP response code
3. Extract and store tokenizedCipherText
4. Extract and store tokenizedMac
5. Verify response time < 3000ms",HTTP 200. Response contains cipherText and mac. Both stored in environment. X-TSP-TR-ID header confirmed in request. Response time < 3000ms.,
TSP Token Vault,13 Tokenize,Tokenize  Idempotency: Same PAN + Same Requestor Returns Same Token,Functional,High,Idempotency Rule,POST /api/tokens/tokenize,TC-TOK-001 completed. Same cipherText and deviceInfo available.,"1. Repeat identical POST /api/tokens/tokenize request from TC-TOK-001 using same toTokenizeCipherText, deviceInfo, and mac
2. Verify HTTP response code
3. Compare returned token with token from TC-TOK-001 (after decryption)",HTTP 200. Second tokenize call succeeds. Decrypted token value matches token from TC-TOK-001. EMVCo idempotency: same PAN + requestor returns same token.,
TSP Token Vault,13 Tokenize,Tokenize  Missing X-TSP-TR-ID Header (Security),Security,High,Pre-requisite,POST /api/tokens/tokenize,TSP service running. toTokenizeCipherText available.,"1. Send POST /api/tokens/tokenize with NO X-TSP-TR-ID header
2. Include valid cipherText, deviceInfo, mac in body
3. Verify HTTP response code","HTTP 400, 401, or 403. Request without Token Requestor ID header rejected.",MISSING_HEADER
TSP Token Vault,13 Tokenize,Tokenize  Tampered MAC (Security),Security,High,Pre-requisite,POST /api/tokens/tokenize,TSP running. toTokenizeCipherText available. tokenRequestorId available.,"1. Send POST /api/tokens/tokenize with X-TSP-TR-ID: {{tokenRequestorId}}
2. Set mac to: AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA (tampered)
3. Verify HTTP response code","HTTP 400, 401, or 422. Tampered MAC detected and request rejected. Message integrity check failure.",INVALID_MAC
TSP Token Vault,13 Tokenize,Tokenize  Exhausted Token Range (Rule 3),Negative,Critical,Rule 3,POST /api/tokens/tokenize,Dedicated test vault configured with a token range where allocated = capacity (fully exhausted). EXHAUSTED_TR_TEST_001 requestor mapped to this exhausted range.,"1. Send POST /api/tokens/tokenize with X-TSP-TR-ID: EXHAUSTED_TR_TEST_001 and valid cipherText, deviceInfo, mac
2. Verify HTTP response code
3. Verify TOKEN_RANGE_EXHAUSTED in error body","HTTP 400, 409, or 422. Error body contains TOKEN_RANGE_EXHAUSTED or EXHAUSTED or CAPACITY exceeded. No token issued.",TOKEN_RANGE_EXHAUSTED
TSP Token Vault,14 Tokenized CipherText Decryption,Decrypt Tokenized CipherText  Happy Path,Functional,Critical,Pre-requisite,POST /api/decryption,TC-TOK-001 completed (tokenizedCipherText available). requestorTransportKey available. Mocker running.,"1. Send POST /api/decryption with body: {cipherText:{{tokenizedCipherText}}, transportKey:{{requestorTransportKey}}}
2. Verify HTTP response code
3. Extract token/pan from decrypted response
4. Validate token is 13–19 digit numeric string
5. Run Luhn check on token value",HTTP 200. Decrypted response contains token or pan field. Token is 13–19 digit numeric. Token passes Luhn check (EMVCo requirement). Stored as issuedToken for detokenize step.,
TSP Token Vault,15 Tokenized MAC Validation,MAC Validation  Happy Path,Functional,High,Pre-requisite,POST /api/validate-mac,"TC-TOK-001 completed (tokenizedCipherText, tokenizedMac available). requestorTransportKey available.","1. Send POST /api/validate-mac with body: {plainText:{{tokenizedCipherText}}, transportKey:{{requestorTransportKey}}, mac:{{tokenizedMac}}}
2. Verify HTTP response code
3. Verify response indicates MAC is valid (true / valid / success)",HTTP 200. Response body indicates MAC is valid. Integrity of tokenized payload confirmed.,
TSP Token Vault,15 Tokenized MAC Validation,MAC Validation  Tampered MAC (Security),Security,High,Pre-requisite,POST /api/validate-mac,TC-TOK-001 completed. tokenizedCipherText and requestorTransportKey available.,"1. Send POST /api/validate-mac with the correct plainText and transportKey
2. Set mac to: 0000000000000000000000000000000000000000000000000000000000000000 (all zeros / tampered)
3. Verify response indicates MAC is invalid",HTTP 400/422 OR HTTP 200 with body indicating invalid=true or macValid=false or status=FAILED. Tampered MAC is flagged as invalid.,INVALID_MAC
TSP Token Vault,16 De-Tokenize (Issuer VERIFY Mode),De-Tokenize  Issuer VERIFY Mode Happy Path,Functional,Critical,De-tokenization Rule,POST /tvm/api/tokens/de-tokenize/issuer,TC-DEC-001 completed (issuedToken available). vaultId and tokenRequestorId available. Token is ACTIVE. TVM running on port 40020.,"1. Send POST /tvm/api/tokens/de-tokenize/issuer with header X-TV-ID: {{vaultId}} and body: {mode:VERIFY, token:{{issuedToken}}, tokenExpiry:09/27, tokenRequestorId:{{tokenRequestorId}}, txData:{posEntryMode:07, merchantId:123456789012345}}
2. Verify HTTP response code
3. Extract and store detokenizationCipherText",HTTP 200. Response contains cipherText (encrypted PAN). detokenizationCipherText stored for issuer decryption step. mode=VERIFY confirmed in request.,
TSP Token Vault,16 De-Tokenize (Issuer VERIFY Mode),De-Tokenize  Invalid Token Format (Non-Luhn) (Negative),Negative,High,De-tokenization Rule,POST /tvm/api/tokens/de-tokenize/issuer,TVM running. vaultId and tokenRequestorId available.,"1. Send POST /tvm/api/tokens/de-tokenize/issuer with token: 1234567890123456 (fails Luhn check)
2. Verify HTTP response code
3. Verify INVALID_TOKEN_FORMAT in error body",HTTP 400 or 422. Non-Luhn-valid token rejected. Error body contains INVALID_TOKEN or INVALID_FORMAT or LUHN.,INVALID_TOKEN_FORMAT
TSP Token Vault,16 De-Tokenize (Issuer VERIFY Mode),De-Tokenize  Missing X-TV-ID Header (Unauthorized/Security),Security,Critical,De-tokenization Rule,POST /tvm/api/tokens/de-tokenize/issuer,TVM running. issuedToken available.,"1. Send POST /tvm/api/tokens/de-tokenize/issuer with NO X-TV-ID header
2. Include valid token, tokenExpiry, tokenRequestorId in body
3. Verify HTTP response code","HTTP 400, 401, or 403. De-tokenization by unauthorized party (missing vault identity header) rejected. EMVCo: de-tokenization only permitted for authorized parties.",UNAUTHORIZED
TSP Token Vault,16 De-Tokenize (Issuer VERIFY Mode),De-Tokenize  Token Domain Violation (TDRC),Functional,High,Token Domain Restriction Controls,POST /tvm/api/tokens/de-tokenize/issuer,TC-TUS-001 completed. Token use restricted to merchantId=123456789012345. vaultId and issuedToken available.,"1. Send POST /tvm/api/tokens/de-tokenize/issuer with merchantId: UNAUTHORIZED_MERCH_001 (not in TDRC setup)
2. Verify HTTP response code
3. Verify TOKEN_DOMAIN_VIOLATION in error body","HTTP 400, 403, or 422. Token used outside configured merchant domain rejected. Error body contains DOMAIN or TDRC or MERCHANT.",TOKEN_DOMAIN_VIOLATION
TSP Token Vault,17 Detokenization CipherText Decryption,Decrypt Detokenization CipherText  Happy Path (PAN Recovery),Functional,Critical,De-tokenization Rule,POST /api/decryption,TC-DTK-001 completed (detokenizationCipherText available). issuerTransportKey available. Mocker running.,"1. Send POST /api/decryption with body: {cipherText:{{detokenizationCipherText}}, transportKey:{{issuerTransportKey}}}
2. Verify HTTP response code
3. Extract PAN from decrypted response
4. Validate PAN is 13–19 digit numeric
5. Verify PAN is different from the token value (issuedToken)",HTTP 200. Response contains pan or primaryAccountNumber. PAN is 13–19 digit numeric. PAN does NOT equal issuedToken (token ≠ PAN is an EMVCo fundamental requirement). Full round-trip validated.,
TSP Token Vault,17 Security & Fraud Controls,Idempotent duplicate request,Security,Critical,,POST {{baseUrl_tvm}}/tvm/api/tokens/tokenize,Full setup flow completed (steps 01-11). Same request returns same token.,"1. POST {{baseUrl_tvm}}/tvm/api/tokens/tokenize
2. Verify HTTP 200
3. Run 1 pm.test() assertions","HTTP 200, all assertions pass",
TSP Token Vault,17 Security & Fraud Controls,Brute-force rate limit,Security,Critical,,POST {{baseUrl_tvm}}/tvm/api/tokens/detokenize,Full setup flow completed (steps 01-11). Rate limiting.,"1. POST {{baseUrl_tvm}}/tvm/api/tokens/detokenize
2. Verify HTTP 400,429
3. Run 1 pm.test() assertions","HTTP 400,429, all assertions pass",RATE_LIMIT_EXCEEDED
TSP Token Vault,17 Security & Fraud Controls,Bad Luhn check digit,Security,Critical,,POST {{baseUrl_tvm}}/tvm/api/tokens/detokenize,Full setup flow completed (steps 01-11). Invalid Luhn.,"1. POST {{baseUrl_tvm}}/tvm/api/tokens/detokenize
2. Verify HTTP 400
3. Run 1 pm.test() assertions","HTTP 400, all assertions pass",INVALID_TOKEN_FORMAT
TSP Token Vault,17 Security & Fraud Controls,Expired JWT in header,Security,Critical,,POST {{baseUrl_tvm}}/tvm/api/tokens/tokenize,Full setup flow completed (steps 01-11). Expired auth token.,"1. POST {{baseUrl_tvm}}/tvm/api/tokens/tokenize
2. Verify HTTP 401
3. Run 1 pm.test() assertions","HTTP 401, all assertions pass",INVALID_AUTH_TOKEN
TSP Token Vault,17 Security & Fraud Controls,Missing authorization,Security,Critical,,POST {{baseUrl_tvm}}/tvm/api/tokens/tokenize,Full setup flow completed (steps 01-11). No auth header or X-TV-ID.,"1. POST {{baseUrl_tvm}}/tvm/api/tokens/tokenize
2. Verify HTTP 401
3. Run 1 pm.test() assertions","HTTP 401, all assertions pass",MISSING_AUTHORIZATION
TSP Token Vault,17 Security & Fraud Controls,SQL injection in PAN,Security,Critical,,POST {{baseUrl_tvm}}/tvm/api/tokens/tokenize,Full setup flow completed (steps 01-11). Input sanitized.,"1. POST {{baseUrl_tvm}}/tvm/api/tokens/tokenize
2. Verify HTTP 400
3. Run 1 pm.test() assertions","HTTP 400, all assertions pass",INVALID_INPUT
